iter	RMSE
0	0.7469048106
1	0.7156106468
2	0.68587063
3	0.6580749432
4	0.6318174456
5	0.6070902497
6	0.5837756385
7	0.5618286702
8	0.541419778
9	0.5220796724
10	0.5039357559
11	0.4868690399
12	0.4708684542
13	0.456008597
14	0.4421511975
15	0.4291758857
16	0.4170952333
17	0.4057539941
18	0.3952178596
19	0.3854181445
20	0.3763642253
21	0.3679769037
22	0.3601624388
23	0.3529763561
24	0.3462998907
25	0.3401241617
26	0.3344464436
27	0.3292545493
28	0.3244684666
29	0.3200880649
30	0.3160893377
31	0.3123350282
32	0.3089096106
33	0.3057745732
34	0.3029499331
35	0.3003363753
36	0.297927286
37	0.2957379941
38	0.29371122
39	0.2919065505
40	0.2902214702
41	0.2886806994
42	0.2872681531
43	0.285935427
44	0.284775826
45	0.2837001049
46	0.282705621
47	0.2818043852
48	0.2809847605
49	0.2802306282
50	0.2795308869
51	0.2789007089
52	0.2782863353
53	0.2777155581
54	0.2772080209
55	0.2767422558
56	0.2763036804
57	0.2758952319
58	0.2755461596
59	0.2752199378
60	0.2748990117
61	0.2746204344
62	0.2743579606
63	0.2740861328
64	0.2738831671
65	0.2736659711
66	0.2734423092
67	0.2732391239
68	0.2730800739
69	0.2729117392
70	0.2727291548
71	0.2725669781
72	0.2724165085
73	0.2722598637
74	0.2721127417
75	0.2719669371
76	0.2718651916
77	0.2717483491
78	0.2716199344
79	0.2715177999
80	0.2714064804
81	0.2713016855
82	0.271183227
83	0.2710763757
84	0.2710009286
85	0.270888457
86	0.2708180077
87	0.2707396258
88	0.2706349409
89	0.2705406105
90	0.270474458
91	0.2703839459
92	0.2702857206
93	0.2702076738
94	0.2701386615
95	0.2700746269
96	0.27000034
97	0.269941883
98	0.2699012299
99	0.2698268124
100	0.2697677662
101	0.2697141467
102	0.2696705891
103	0.2695934696
104	0.2695523987
105	0.2694987994
106	0.2694508963
107	0.269402727
108	0.2693457982
109	0.2692996318
110	0.2692633495
111	0.2692274278
112	0.2691878303
113	0.2691412412
114	0.2690771219
115	0.2690165269
116	0.2689822152
117	0.2689250556
118	0.2688882765
119	0.2688343433
120	0.2687992826
121	0.2687431355
122	0.2686985076
123	0.2686545667
124	0.2686235548
125	0.2685897186
126	0.2685373784
127	0.2685101487
128	0.2684700301
129	0.2684285784
130	0.2683823296
131	0.268345516
132	0.2683077226
133	0.2682572242
134	0.2681800939
135	0.2681170177
136	0.2680780022
137	0.2680360086
138	0.2679807758
139	0.2679363094
140	0.2678804865
141	0.2678527616
142	0.2678200391
143	0.2677764782
144	0.2677511158
145	0.2677069458
146	0.2676760687
147	0.2676442624
148	0.2676039218
149	0.2675510452
150	0.267529749
151	0.2674963648
152	0.2674696533
153	0.2674217378
154	0.2673950904
155	0.267378354
156	0.2673423728
157	0.2672918317
158	0.2672584858
159	0.2672152952
160	0.2671907777
161	0.2671500703
162	0.2670965169
163	0.2670766858
164	0.2670425392
165	0.2670187783
166	0.2669773578
167	0.2669455379
168	0.2668959299
169	0.2668538626
170	0.266812068
171	0.2667726056
172	0.2667415951
173	0.266699259
174	0.2666730735
175	0.266645765
